	APC_PS_Va_l	APC_PS_l	APC_f	APC_l	AT_f	II_f	II_l	IIa_AT_f	IIa_TM_PC_l	IIa_TM_l	IIa_f	LIPID	PC_f	PC_l	PS_f	PS_l	TFPI_Xa_TF_VIIa_l	TFPI_Xa_l	TFPI_f	TF_VII_Xa_l	TF_VII_l	TF_VIIa_X_l	TF_VIIa_Xa_l	TF_VIIa_l	TF_l	TM_l	VII_Xa_l	VII_f	VII_l	VIIa_f	VIIa_l	V_IIa_l	V_Xa_l	V_f	V_l	V_mIIa_l	Va_f	Va_l	Vai_f	Vai_l	X_f	X_l	Xa_AT_f	Xa_Va_II_l	Xa_Va_l	Xa_Va_mIIa_l	Xa_f	Xa_l	alpha2M_IIa_l	alpha2M_Xa_l	alpha2M_l	mIIa_AT_l	mIIa_f	mIIa_l
69	0.0012955908243640953	45.78841972991975	0.4018042073194904	3.286615692081604	4718.863917539764	337.0124988816107	829.730524678104	1.3519313510159932	0.006365401943426267	0.05692915596508338	0.029226275199199493	57256.18441101514	4.733191513962263	11.782307863949047	0.4871006896433792	69.72318398961254	0.007262950715283201	0.8523901628196855	11.440346886465038	1.0087672864932628e-07	0.0016049079626304786	0.0016323185726650517	0.0024558357618653867	0.005210710198229395	3.317591259785017e-05	0.9367054420914898	0.0003474573423964514	0.12667805811581087	5.4945984658962335	0.01620604303910817	2.044003151519042	5.665826130197191e-07	4.4794716147764935e-07	1.9111856488443997e-08	3.725126072772511e-06	-1.587219437306525e-06	-2.5714885779598038e-06	-0.0005466175805401477	0.009064204763942657	1.7401290169278456	35.34117490472872	106.49974877194053	0.05161961413598505	2.286889007568064e-05	3.0250361000642794e-05	4.085753623054348e-06	0.014937299572121927	0.07594989692003438	0.03815933990591731	0.0024230336620533715	363.9594176264322	0.7325314950937825	0.09035151273307906	5.45145597442137
70	0.0005284512511086904	45.888985076322264	0.40324007092653735	3.2983346528282884	4718.843996941519	337.0153852186876	829.7306261038601	1.3565056110810225	0.006184934854682789	0.053532241104513774	0.027543652524959154	57255.67185526815	4.700917003163714	11.701809810653357	0.4864127803622598	69.6240736920644	0.007444515448134004	0.8644170526581063	11.428138431893766	9.92160543673401e-08	0.0015623539815006191	0.0016077658194668986	0.002419017950770495	0.005132788625355197	3.345895871843079e-05	0.9402828240408028	0.00034453343239736493	0.12608748335146958	5.468931267244458	0.01641276874437079	2.0700574061860157	3.398280381048813e-08	-5.9517345890869176e-08	4.142432863676161e-08	8.287536559321124e-06	-3.9359696313532286e-07	-6.63709000439454e-06	-0.0012669877252136485	0.009073725731466946	1.7419435380357942	35.33839065353963	106.49040725941232	0.05242789334681801	-0.00011069053344403036	-0.00015036668708130264	-1.894281200903643e-05	0.014851773744631874	0.07550851427937816	0.038288477374776336	0.0024609807020992977	363.95925054192327	0.7470695540621178	0.09007872295497614	5.434915476454299
71	-0.001113517464107791	45.98707128197697	0.4046440165707013	3.309791760114415	4718.824394476903	337.01842297402817	829.7312716897161	1.3608142537947845	0.005960097353070607	0.05019469264487123	0.0259307109864866	57255.22782999885	4.66967843545141	11.623967925997492	0.48574751244914344	69.52829472303803	0.0076248018289885025	0.8762870521934082	11.41608814597761	9.372134346075064e-08	0.0015209950254051502	0.0015836250083047358	0.0023826253365679677	0.00505615015311836	3.170892627183636e-05	0.9438452100020575	0.00033786409280204844	0.12550494322567904	5.443623403581955	0.016616631799965555	2.095748866225863	-7.724514257922944e-08	1.4930456603913656e-07	2.534367380079589e-08	4.871999070269746e-06	1.1077583486969937e-06	3.5010223016139307e-06	0.0006863540449117992	0.009070956260243896	1.741361241294018	35.33562003269139	106.48123430546758	0.05322880515765865	-5.868340091043616e-06	-7.815976070964822e-06	-9.280017217084474e-07	0.014665898198929583	0.07455077731767518	0.038410117873785087	0.0024985819985973313	363.95909130012774	0.7615624641533135	0.08979187220655326	5.41764689307094
72	-6.175200882822893e-05	46.07670155887443	0.4059467836428645	3.320416843895159	4718.8050608588865	337.0193564468704	829.727926341798	1.3649035520055426	0.005441001892002233	0.04806939740511162	0.024822269273510316	57254.870155622266	4.640431887058611	11.551123676645705	0.4851208391661726	69.43823935396826	0.007803699182789323	0.8879600825736159	11.404236218243604	9.197289980788978e-08	0.0014807810437946207	0.0015592039443880273	0.002346191590784546	0.004978581441137743	3.145082420594646e-05	0.9464896007028855	0.0003331192370461485	0.12493192781736594	5.418736956660603	0.016817079957169467	2.1210123671520145	-4.4160766748929123e-07	1.2468373314795973e-07	1.1310340332663034e-08	2.4317845129023415e-06	3.7729658361171424e-07	3.1008295006717732e-06	0.0006028476442580745	0.00906476422921082	1.740192163852115	35.332855448282466	106.47223770236782	0.05401989304121897	7.75142623483126e-05	0.00010588835864657202	1.2969365246256326e-05	0.014489828439321532	0.07366252048413674	0.03852556757152668	0.0025357222134638185	363.95893871021514	0.7760156960758859	0.08958699899169803	5.405262308799211
73	0.0003358643166074259	46.16167653245186	0.40715652358417503	3.330295162354731	4718.785955157008	337.0195147156089	829.7245913749941	1.3688048868688787	0.005276847919524507	0.04607648875709683	0.023597491253632436	57254.60061839188	4.612839946418956	11.482419122954097	0.48453084594957757	69.35345675728199	0.007981044795547938	0.8994687286855498	11.392550226518912	8.716677640241239e-08	0.0014411712366113306	0.001536149206385327	0.002310939122635217	0.004905386863147267	2.522160889653123e-05	0.948646663323378	0.00032818174928582916	0.1243669707173277	5.394210221073397	0.01701457660134364	2.1459052714675355	2.82336405121465e-07	1.9941757249661537e-07	1.8420398708470047e-08	3.474562665442126e-06	-6.664207286003997e-07	4.216388396231758e-07	7.407988155334845e-05	0.009066256739549508	1.7404647836495555	35.33009360281706	106.46341502825584	0.05480302756622466	2.194026272869264e-05	2.950494390053314e-05	3.8402509521763474e-06	0.014372886701472794	0.07306234989782816	0.038635710011929614	0.0025724891601765164	363.958791800828	0.790436928566228	0.08939549279942341	5.39364466679031
74	-0.0001564332486348848	46.24359137524609	0.40834907530590037	3.3400400473554948	4718.767071550679	337.0199079976562	829.7228300297418	1.3725241514154862	0.0049853722973064105	0.04385342819086442	0.022562561851198128	57254.418533762575	4.586463124524245	11.416727438519548	0.4839671110355151	69.27259794696707	0.008156936610626482	0.910825060454385	11.381018002934999	8.430324010919755e-08	0.0014040365484936537	0.0015084279369814656	0.002271644458192185	0.004817180486640011	4.1689655826105364e-05	0.9511611995118285	0.0003235137459312219	0.1238100429025989	5.370038009764259	0.017209353031773757	2.1704607702112564	-2.0624652149701386e-07	-4.879840272750596e-07	1.6692879489995365e-08	3.4266926810097093e-06	6.329739783968628e-07	1.945385263611316e-06	0.0003894225781511066	0.009067276310158435	1.7406431951469192	35.32733992745463	106.45477926060005	0.05557909686968555	2.020731131694422e-05	2.7529635681805195e-05	3.4747521537136284e-06	0.014229585945175854	0.07232681333326278	0.03874071225560432	0.0026089245726522775	363.95865036317184	0.8048252010453375	0.08917864206426064	5.380567794690467
75	0.0007148721660132757	46.320213921377906	0.40948931707028163	3.3493491068025434	4718.748422531189	337.0204802235101	829.7228899310883	1.3760529666756758	0.004786089120237896	0.041638061030685736	0.02123416420219321	57254.315024687545	4.561310965387727	11.354135728075235	0.48343029167310525	69.19564091478301	0.00833054467938831	0.9220338753735176	11.369635579947104	8.225460230436668e-08	0.001362864750679631	0.0014976102923063448	0.0022471933350117178	0.004783246426017788	-2.154173800608405e-05	0.9535758498490757	0.00031991710652568754	0.12326007251149283	5.3461760490498484	0.0174010030785788	2.1946214165155418	9.070717388778149e-08	5.000467495175341e-07	1.1029152471539875e-08	2.0327877636607645e-06	-2.2999961986922173e-07	-4.399398143212707e-06	-0.000885734479689872	0.009070058108823914	1.741198852265632	35.32458226116703	106.44627510117249	0.0563479427842389	-3.787037334081252e-05	-5.1659852118195545e-05	-6.523008396798236e-06	0.014106743329601969	0.07170926074084058	0.038840338418855855	0.0026450209514852574	363.95851464062974	0.8191765593603503	0.08893804610337953	5.366008153163824
76	-0.0017358714164176555	46.39593837082881	0.41055080920044984	3.3580320477554646	4718.729979754615	337.0201737610674	829.7212658412742	1.3794209215743072	0.0044381485410466374	0.039547937990724945	0.020565908631671948	57254.29048610239	4.5376158680626135	11.295160627027979	0.48292176292042555	69.12287573766723	0.008504405203747996	0.9330585404268765	11.358437054369386	7.721216510768878e-08	0.0013411222614172933	0.0014260666343529087	0.002169428134987035	0.004554271310036048	0.00020462924329362457	0.9560139134682277	0.00031231776594976374	0.12271914919998561	5.322715334342402	0.017591642486838067	2.2186661854481113	1.0603680724911464e-07	-7.901061215925657e-07	4.450619897664936e-10	2.0258148861804876e-07	9.473983534941171e-07	1.1130843291205261e-05	0.0022398416595600943	0.009065046530936488	1.7401828645931152	35.32187626432533	106.43808885319716	0.05710787866414711	9.323788110515523e-05	0.00012724759896068903	1.603595385918669e-05	0.013901350532454467	0.07063838739158115	0.03893542283510402	0.0026806991833656195	363.9583838779816	0.8334914451554408	0.08872666116532944	5.353323624494056
77	-0.0006867179560107548	46.46503963694568	0.4115710875414206	3.366375313545863	4718.71159947404	337.0168042465698	829.711755071493	1.382762827559942	0.0043967363154700494	0.03831621217350989	0.020910869432477316	57254.25912223785	4.514845710768628	11.238458232838891	0.4824355606565501	69.05321152035383	0.008679451165279678	0.9438118758734649	11.347508672961267	7.874531017496312e-08	0.0013929557070988523	0.001291520920833828	0.0019819460369913454	0.004128684887402959	0.0007253625370831798	0.9572870515110194	0.00030341420706605945	0.1221907698973772	5.299797040866405	0.017780277481803924	2.2424538600844235	2.16697965712603e-07	-2.366887911671184e-06	-3.5107515006072723e-08	-7.1443792179831105e-06	2.0901584371186683e-06	1.6211298157650653e-05	0.003101628415025502	0.009052466534576493	1.7377728552170468	35.3193764440737	106.43053226583037	0.05785406156819487	0.0002968146574292513	0.0004031322809181936	5.0849071098780916e-05	0.013600082451676158	0.0691046980411652	0.039029771866220836	0.002715731964345395	363.9582544961695	0.8477836368413858	0.08865700875338262	5.34923364840918
78	0.002640664092405154	46.52985566417582	0.4125653602708691	3.3744972754261213	4718.693331090333	337.01372197975724	829.7051335055842	1.3860193611200675	0.004187668561003158	0.03854747214951613	0.019506610363681495	57254.262047432094	4.4927403056547	11.183513061819028	0.48196206178510925	68.98554160994672	0.008848775601379382	0.9543311718812175	11.336820052517416	8.727340061291824e-08	0.0014825272206995407	0.0012619223968097979	0.0018864266816218792	0.004036283746627812	0.0006839770794609984	0.9572648592894801	0.0003005326406318224	0.12167137259133201	5.277273450773665	0.01796136177416142	2.2652772592996646	-5.314966868434135e-09	-2.2698451418403871e-07	-2.2488000787526324e-08	-4.20277035770586e-06	-2.2391496297933813e-06	-7.263563032910742e-06	-0.0014321003453865895	0.009062176559409824	1.7397170913286077	35.316998402090896	106.42336449389603	0.05858726289227415	1.0572269024952089e-05	1.397386356584982e-05	1.5825028752737772e-06	0.013422930955024118	0.06822193672507945	0.03912171119031133	0.002750155314611124	363.95812813349517	0.862062285664162	0.0885593395092851	5.343130155792526
79	8.913555840597571e-05	46.59414280621016	0.4134777764751509	3.3819655461500626	4718.675320547652	337.01425793222666	829.7102158761492	1.3890608754426086	0.0036030314866146024	0.036218671000844374	0.018241357910292865	57254.483245601165	4.4727871132866515	11.133934590832904	0.4815315803498007	68.92423647788169	0.009010196481922545	0.964657819494955	11.326331984023135	8.384669938090499e-08	0.00153991369169166	0.0012674756256673175	0.0019016007319589605	0.004051064669491957	0.0004296649525682072	0.9601782975125405	0.00029296763194906436	0.12116130547822654	5.255174186929289	0.018137238569446178	2.287463966343651	7.491319593850347e-07	-5.163923937542893e-07	-1.2722702377704199e-09	-5.419160515733826e-07	-2.6208802764101535e-07	-5.950553641715837e-06	-0.0011417770627011768	0.009076658399112496	1.7424324091397163	35.31453508277602	106.41633701739777	0.05931000610820318	-0.0001776522241424412	-0.00024265342671004307	-2.9597293255516626e-05	0.013214707918454856	0.06713937357245224	0.039207578458033826	0.0027840877503876723	363.95800833379167	0.876308570807594	0.08825606828390065	5.324836800706948
80	-0.0004203920217849535	46.65656838077156	0.41435176829393255	3.389147255710802	4718.657592757258	337.0157783944159	829.7165637185047	1.391883600204602	0.004171607220133563	0.03264196418863734	0.016792656175082847	57254.677011578344	4.452619087440217	11.083562292585086	0.4811018940918676	68.86275011715841	0.009161640459479127	0.9747646998128373	11.316073659727696	8.355188751717798e-08	0.0015006800005352896	0.0013819989418213815	0.0020237510086126226	0.004417228125171218	-0.00028538208750712897	0.9631864285912285	0.0002886697044670542	0.12066381124238236	5.233606633148469	0.018305249927151258	2.308650253890017	-7.681208673560951e-07	2.6182641836952457e-07	-2.635864919949434e-08	-5.093569563457528e-06	1.6083966867680376e-06	-2.9486347423350575e-06	-0.0005792116480435009	0.00907479837313508	1.7421030127023147	35.31194482390563	106.40887722332391	0.060020495360396935	-6.782864132242336e-05	-9.151807228129072e-05	-1.1894231300393855e-05	0.012971365818422434	0.06591878227652145	0.039287271591918575	0.0028174449544250816	363.95789528345375	0.8905031471877429	0.08791813823306056	5.304538384874209
81	-0.000459057997694525	46.71595060459182	0.4152791780177178	3.3967242953362318	4718.640123229563	337.0155900077337	829.7189802347805	1.3945101325052622	0.003367060245817197	0.031267306613753314	0.015806142965232917	57254.90990422332	4.433294966289566	11.035842953516497	0.480685726831607	68.80382272657432	0.009327798607208003	0.9846002039820875	11.306071997410717	8.857634164483421e-08	0.0015826038205351493	0.0009921484533246868	0.0016764074911082348	0.0031654831592168643	0.0014554698922654473	0.9653656331404289	0.0002792301974005087	0.12017483254948082	5.212436385360307	0.018488992182122497	2.331876029602948	8.418651039151103e-07	-1.539745114908379e-07	-2.85238828163528e-08	-5.670601976341894e-06	-8.982060351679989e-07	7.890586781466401e-07	0.00017264109761305725	0.009070198275016783	1.7412281627809536	35.309692587358256	106.40261625762798	0.06071719548984347	-2.732160952315305e-06	-3.627931230767219e-06	-4.636810819839446e-07	0.012706582764011673	0.06454832232722427	0.03936142534999829	0.0028501548729128003	363.9577884197772	0.9046494424523315	0.08765750474672525	5.288813994788869
82	1.9778619366905446e-05	46.7674509543782	0.41600515447757197	3.4026697830801247	4718.622820643371	337.0139760113622	829.7200961541197	1.3970272572053941	0.0031496787105365865	0.02936470734395095	0.015433049718980685	57255.26582468783	4.4165692238071115	10.994135426927048	0.480323035882562	68.75220623111993	0.009480699488100411	0.9941118107842153	11.296407489727697	9.151903279328345e-08	0.0017601765184933212	0.001063331057592406	0.0014838391226504987	0.0034204068692320635	0.0009914554248985422	0.9674856139455118	0.0002701287978277508	0.11969975464370734	5.1918605035821015	0.018651580965941106	2.3523094874353143	5.414467878449281e-07	-1.1155438625213113e-06	-1.6272199776762137e-08	-3.1241060364249198e-06	-1.4767637284534452e-07	4.826144664634626e-07	8.043727608048924e-05	0.009067879818277223	1.7407912018593656	35.30760390505054	106.39692570916549	0.06139551333510206	1.743701797873519e-05	2.3652945688813266e-05	2.9920004596435955e-06	0.012294004889444286	0.06244599845797715	0.039432487096179934	0.0028820019116856895	363.9576855109923	0.9187565860995177	0.08743289649754131	5.275310349056359
83	7.999617887091606e-05	46.81766521642445	0.4167370550217928	3.408702205891306	4718.605716179871	337.01237618319226	829.721188676958	1.3994005616284932	0.0031879660629257935	0.0284002976820452	0.014023251997424956	57255.606171667845	4.400188659987435	10.953438900433174	0.4799714102990266	68.7022833770977	0.0096164674872541	1.0033172084743838	11.287066324038374	8.898385229557177e-08	0.0017441827163592835	0.0012926917982229872	0.0018883791500948505	0.004117336859322831	-0.00045914699510630867	0.9684117362550284	0.00026366921374501855	0.1192422220672119	5.172049308530595	0.018799156320134087	2.3709864968732006	-4.853554431487431e-07	4.725184234391228e-07	-1.2789100265854276e-08	-2.6039301411357596e-06	-2.2679027076622236e-07	-2.2466456634443594e-07	-3.258205905053938e-05	0.009068319502271698	1.740890536973609	35.3051921257622	106.3902730420039	0.06205562837659792	-1.2525592443218662e-06	-1.7013682976014036e-06	-2.3565706072621535e-07	0.01203572565996638	0.06115469577486651	0.03949949238384354	0.0029129943810267383	363.9575875132353	0.9328276301349318	0.08721008306564405	5.26188805725567
